date,year,month,company,technology_category,milestone_type,milestone_description,significance_level,commercial_impact,trl_change,source_type,validation_status
2020-01-15,2020,January,Sila Nanotechnologies,Silicon Anode,Funding,Series F $170M raised from Daimler and others,High,Medium,6→6,Press Release,Confirmed
2020-03-10,2020,March,QuantumScape,Solid-State,Partnership,Volkswagen increases investment to $300M,Very High,Medium,5→5,Company Filing,Confirmed
2020-06-22,2020,June,Eos Energy,Flow Battery,Production,Automated manufacturing line operational,High,High,7→8,Company Announcement,Confirmed
2020-09-15,2020,September,Form Energy,Metal-Air,Technology,Iron-air 100-hour storage announced,Very High,Low,4→5,Press Release,Confirmed
2020-12-08,2020,December,QuantumScape,Solid-State,Technical,24-layer cell demonstrated 800+ cycles,Very High,Medium,5→6,Independent Test,Validated
2021-02-18,2021,February,Amprius,Silicon Anode,Production,500 Wh/kg cells entering production,Very High,Medium,6→7,Company Announcement,Confirmed
2021-03-12,2021,March,Sila Nanotechnologies,Silicon Anode,Commercial,Mercedes partnership announced for EQG,Very High,High,6→7,OEM Announcement,Confirmed
2021-06-01,2021,June,CATL,Sodium-Ion,Technology,First-generation sodium-ion cell (160 Wh/kg) revealed,High,Medium,6→7,Product Launch,Confirmed
2021-07-15,2021,July,Enovix,Silicon Anode,IPO,SPAC merger completed raising $425M,High,Medium,6→7,SEC Filing,Confirmed
2021-09-20,2021,September,Solid Power,Solid-State,Commercial,Delivered 20 Ah sulfide cells to BMW and Ford,Very High,High,6→7,Partnership Announcement,Confirmed
2021-10-18,2021,October,Form Energy,Metal-Air,Commercial,Georgia Power 15 MW / 1500 MWh project announced,Very High,High,5→6,Utility Announcement,Confirmed
2021-11-30,2021,November,Tesla,Li-ion Manufacturing,Production,4680 cell production begins at pilot facility,Very High,Very High,8→9,Earnings Call,Confirmed
2022-01-12,2022,January,Sila Nanotechnologies,Silicon Anode,Funding,Series F extension $590M total,High,High,7→7,Press Release,Confirmed
2022-02-22,2022,February,Our Next Energy,LFP / Li-Metal,Technology,Gemini dual-chemistry 752-mile range demonstrated,High,Medium,5→6,Press Release,Confirmed
2022-03-28,2022,March,Enevate,Silicon Anode,Technology,5-minute fast charging silicon anode demonstrated,Very High,Medium,6→6,Technical Publication,Validated
2022-04-15,2022,April,Factorial Energy,Solid-State,Technology,40 Ah FEST solid-state cells demonstrated,High,Medium,6→6,Company Announcement,Confirmed
2022-05-10,2022,May,Redwood Materials,Recycling,Production,Campus expansion 100 GWh annual capacity target,Very High,High,7→8,Company Announcement,Confirmed
2022-06-08,2022,June,Amprius,Silicon Anode,Production,500 Wh/kg cells in commercial production,Very High,High,7→8,Production Announcement,Confirmed
2022-08-15,2022,August,LG Energy Solution,Li-ion Manufacturing,Production,Holland MI expansion to 70 GWh announced,Very High,Very High,9→9,Company Filing,Confirmed
2022-09-01,2022,September,Natron Energy,Sodium-Ion,Commercial,Commercial production of Prussian Blue cells begins,High,Medium,7→8,Press Release,Confirmed
2022-10-12,2022,October,Panasonic,Li-ion Manufacturing,Production,Kansas facility $4B investment announced,Very High,Very High,9→9,State Announcement,Confirmed
2022-11-18,2022,November,QuantumScape,Solid-State,Technical,QSE-5 single-layer cell performance data released,High,Medium,6→6,Technical Report,Validated
2023-01-09,2023,January,Sila Nanotechnologies,Silicon Anode,Commercial,Commercial deliveries to automotive partners begin,Very High,Very High,7→8,Company Announcement,Confirmed
2023-02-14,2023,February,Redwood Materials,Recycling,Funding,DOE $2B loan for Nevada cathode facility,Very High,Very High,8→8,DOE Announcement,Confirmed
2023-03-22,2023,March,SK On,Li-ion Manufacturing,Production,150 GWh total U.S. capacity announced,Very High,Very High,9→9,Company Report,Confirmed
2023-04-10,2023,April,CATL,LMFP,Technology,M3P (LMFP variant) launched for Li Auto,Very High,High,7→8,Product Launch,Confirmed
2023-05-18,2023,May,ESS Inc,Flow Battery,Commercial,75 MWh Sacramento Municipal Utility District project,High,High,7→8,Utility Announcement,Confirmed
