company_id,legal_name,ticker,founded_year,hq_city,hq_state,technology_primary,technology_secondary,value_chain_stage,commercialization_stage,application_primary,production_capacity_gwh,facility_count_us,employees_approx,public_private,last_funding_date,total_capital_raised_m,major_investors,source_url,data_quality_score
COMP-001,Eos Energy Enterprises Inc,EOSE,2008,Edison,NJ,Flow-Zinc,Aqueous zinc-bromine,Cell Manufacturing,Stage 3,Grid-scale storage,8.0,2,250,Public,2024-11-01,315.5,Cerberus Capital Management; DOE Loan Programs Office,https://www.eose.com,0.95
COMP-002,Amprius Technologies Inc,AMPX,2008,Fremont,CA,Li-ion,Silicon anode; 500 Wh/kg,Cell Manufacturing,Stage 3,Aviation; EV,2.0,1,120,Public,2025-02-01,35.0,Airbus Ventures; Traxys,https://amprius.com,0.92
COMP-003,QuantumScape Corporation,QS,2010,San Jose,CA,Solid-State,Ceramic separator; Lithium-metal anode,Cell Manufacturing,Stage 2,EV batteries,Not Disclosed,1,850,Public,2024-07-01,Not Disclosed,Bill Gates; Volkswagen; KPCB,https://www.quantumscape.com,0.93
COMP-004,Clearway Energy Inc,CWEN,2013,San Francisco,CA,Li-ion,LFP; NMC,System Integration,Stage 4,Grid-scale storage,0.85,Multiple,Not Disclosed,Public,N/A,N/A,Public Markets,https://investor.clearwayenergy.com,0.88
COMP-005,Fluence Energy Inc,FLNC,2017,Arlington,VA,Li-ion,Multiple chemistries,System Integration,Stage 4,Grid-scale storage,22.0,3,650,Public,2024-12-01,350.0,Public Markets; Siemens; AES,https://ir.fluenceenergy.com,0.94
COMP-006,American Battery Technology Company,ABAT,2011,Reno,NV,Li-ion,Recycling; Lithium extraction,Recycling; Refining,Stage 3,Battery recycling,0.02,2,150,Public,2024-12-01,144.0,DOE; Public Markets,https://americanbatterytechnology.com,0.90
COMP-007,Enovix Corporation,ENVX,2007,Fremont,CA,Li-ion,3D silicon anode,Cell Manufacturing,Stage 3,Consumer electronics; EV,Not Disclosed,2,450,Public,2021-07-01,Not Disclosed,Intel Capital; Qualcomm Ventures,https://www.enovix.com,0.89
COMP-008,SES AI Corporation,SES,2012,Woburn,MA,Lithium-Metal,AI-enhanced Li-Metal,Cell Manufacturing,Stage 2,EV batteries,Not Disclosed,3,400,Public,2025-01-01,10.0,General Motors; Hyundai; Honda,https://www.ses.ai,0.91
COMP-009,Microvast Holdings Inc,MVST,2006,Stafford,TX,Li-ion; Solid-State,Polyaramid separator; All-solid-state,Cell Manufacturing,Stage 3,Commercial vehicles; EV,Not Disclosed,2,600,Public,2022-11-01,200.0,General Motors; DOE,https://microvast.com,0.87
COMP-010,Solid Power Inc,SLDP,2012,Thornton,CO,Solid-State,Sulfide-based electrolyte,Component Manufacturing,Stage 2,EV batteries,0.14,1,180,Public,2024-09-01,50.0,Ford; BMW; DOE,https://www.solidpower.com,0.92
COMP-011,Energy Vault Holdings Inc,NRGV,2017,Westlake Village,CA,Gravity; Li-ion,Gravity energy storage,System Integration,Stage 3,Grid-scale storage,0.15,1,200,Public,2024-10-01,Not Disclosed,SoftBank; Public Markets,https://www.energyvault.com,0.86
COMP-012,Redwood Materials Inc,N/A,2017,Carson City,NV,Li-ion,Battery recycling,Recycling; Component Manufacturing,Stage 4,Battery recycling; Cathode production,20.0,1,700,Private,2024-01-01,2000.0,DOE Loan Programs Office; T. Rowe Price,https://www.redwoodmaterials.com,0.95
COMP-013,Sila Nanotechnologies Inc,N/A,2011,Alameda,CA,Li-ion,Silicon anode material,Component Manufacturing,Stage 3,EV batteries,0.2,1,500,Private,2022-01-01,900.0,Daimler; Sutter Hill Ventures; DOE,https://www.silanano.com,0.93
COMP-014,Form Energy Inc,N/A,2017,Somerville,MA,Iron-Air,Multi-day storage; 100-hour duration,Cell Manufacturing,Stage 3,Grid-scale storage,8.5,2,1000,Private,2024-08-01,1200.0,Breakthrough Energy Ventures; ArcelorMittal; DOE,https://formenergy.com,0.94
COMP-015,Factorial Energy Inc,N/A,2010,Woburn,MA,Solid-State,FEST lithium-metal; Solstice sulfide,Cell Manufacturing,Stage 2,EV batteries,Not Disclosed,1,250,Private,2025-04-01,400.0,Mercedes-Benz; Stellantis; Hyundai,https://factorialenergy.com,0.91
COMP-016,ESS Inc,N/A,2011,Wilsonville,OR,Flow-Iron,Iron flow battery,Cell Manufacturing,Stage 3,Grid-scale storage,Not Disclosed,1,150,Private,2023-01-01,130.0,Breakthrough Energy Ventures; SoftBank,https://essinc.com,0.88
COMP-017,Ascend Elements Inc,N/A,2015,Westborough,MA,Li-ion,Hydro-to-Cathode recycling; NMC; LFP,Recycling; Component Manufacturing,Stage 3,Cathode materials,0.75,2,350,Private,2024-01-01,650.0,DOE; SKC; Doral,https://ascendelements.com,0.92
COMP-018,Li-Cycle Holdings Corp,N/A,2016,Mississauga,ON,Li-ion,Spoke & Hub recycling model,Recycling,Stage 3,Battery recycling,0.01,2,200,Private,2025-08-01,Not Disclosed,Glencore (acquired operations),https://li-cycle.com,0.85
COMP-019,Our Next Energy Inc,ONE,2020,Van Buren Township,MI,LFP; Lithium-Metal,Gemini dual-chemistry; Aries II LFP,Cell Manufacturing,Stage 2,EV batteries; Range extenders,20.0,1,400,Private,2023-06-01,300.0,Bill Gates; BMW i Ventures,https://one.ai,0.90
COMP-020,Natron Energy Inc,N/A,2012,Holland,MI,Sodium-ion,Prussian blue electrode,Cell Manufacturing,Stage 3,Data center backup; Industrial,0.6,1,80,Private (Defunct),2024-04-01,120.0,ARPA-E; Chevron,https://natron.energy,0.82
