Material,Source_Country,Mining_Production_Pct,Refining_Capacity_Pct,US_Imports_From_Pct,2024_Supply,2030_Projected_Supply,Risk_Level
Lithium,Australia,47,5,12,High,High,Medium
Lithium,Chile,26,3,28,High,High,Low
Lithium,China,14,60,35,Critical,Medium,High
Lithium,Argentina,6,1,8,Medium,Medium,Low
Lithium,United States,1,8,0,Low,Medium,Low
Lithium,Canada,0.5,2,5,Low,Low,Low
Lithium,Recycled,0,0,0,Negligible,12pct_of_demand,Low
Cobalt,DRC,70,5,8,Critical,High,Critical
Cobalt,China,2,65,52,Critical,Medium,High
Cobalt,Indonesia,5,8,3,Low,Low,Medium
Cobalt,Canada,3,5,15,Low,Medium,Low
Cobalt,Australia,4,3,8,Low,Medium,Low
Cobalt,Philippines,3,2,2,Low,Low,Medium
Cobalt,Recycled,0,0,0,Negligible,50pct_of_demand,Low
Nickel,Indonesia,48,12,8,High,Medium,Medium
Nickel,Philippines,12,3,5,Medium,Low,Medium
Nickel,Russia,9,18,0,Sanctioned,Sanctioned,Critical
Nickel,New_Caledonia,7,8,3,Medium,Low,Medium
Nickel,Australia,6,10,12,Low,Medium,Low
Nickel,Canada,5,15,35,Medium,High,Low
Nickel,China,3,25,22,High,Medium,High
Nickel,United_States,0.3,1,0,Negligible,Low,Low
Nickel,Recycled,0,0,0,Negligible,30pct_of_demand,Low
Graphite,China,65,95,78,Critical,Critical,Catastrophic
Graphite,Mozambique,15,0,3,Medium,Medium,Medium
Graphite,Madagascar,8,0,2,Low,Low,Medium
Graphite,Brazil,4,1,5,Low,Low,Low
Graphite,Canada,2,0,8,Low,Medium,Low
Graphite,United_States,0.1,2,0,Negligible,Low,Low
Graphite,Recycled,0,0,0,Negligible,3pct_of_demand,Low

US_Domestic_Projects,Material,Location,Developer,Annual_Capacity,Status,Online_Date,Investment_USD_Millions,Employment_Projected
Thacker_Pass,Lithium,Nevada,Lithium_Americas,40000_tonnes_LCE,Construction_Starting,2027,2500,1000
Silver_Peak,Lithium,Nevada,Albemarle,5000_tonnes_LCE,Operating,Current,150,80
Rhyolite_Ridge,Lithium,Nevada,ioneer,26000_tonnes_LCE,Permitting,2028,800,350
Salton_Sea,Lithium,California,Controlled_Thermal_Resources,20000_tonnes_LCE,Pilot,2026,500,200
Kings_Mountain,Lithium,North_Carolina,Albemarle,30000_tonnes_LCE,Development,2027,1300,450
Piedmont_Carolina,Lithium,North_Carolina,Piedmont_Lithium,22500_tonnes_LCE,Delayed,2029,850,300
Tamarack,Nickel_Cobalt,Minnesota,Talon_Metals,60000_tonnes_Ni_yr,Permitting,2028,1200,600
Eagle_Mine,Nickel,Michigan,Lundin_Mining,18000_tonnes_Ni_yr,Operating,Current,500,300
Graphite_One,Graphite,Alaska,Graphite_One,41850_tonnes_SPG_yr,Feasibility,2029,1100,350
